iter	Passed	Remaining
406	5326	7760
407	5336	7743
408	5346	7725
409	5357	7708
410	5367	7692
411	5378	7675
412	5389	7660
413	5399	7642
414	5409	7625
415	5421	7610
416	5430	7592
417	5443	7579
418	5456	7565
419	5468	7551
420	5479	7535
421	5490	7519
422	5500	7503
423	5510	7486
424	5521	7470
425	5532	7454
426	5542	7437
427	5553	7422
428	5563	7405
429	5575	7390
430	5586	7374
431	5595	7357
432	5605	7340
433	5615	7323
434	5626	7307
435	5637	7292
436	5648	7276
437	5658	7260
438	5669	7245
439	5679	7228
440	5690	7213
441	5701	7197
442	5711	7180
443	5722	7165
444	5732	7150
445	5742	7133
446	5753	7118
447	5764	7102
448	5774	7085
449	5786	7072
450	5796	7056
451	5805	7039
452	5816	7023
453	5825	7005
454	5837	6992
455	5849	6978
456	5859	6962
457	5871	6947
458	5882	6933
459	5892	6917
460	5903	6902
461	5914	6886
462	5924	6870
463	5935	6856
464	5945	6840
465	5955	6824
466	5966	6809
467	5977	6794
468	5987	6778
469	5997	6763
470	6008	6748
471	6019	6733
472	6030	6719
473	6040	6703
474	6052	6689
475	6065	6676
476	6075	6661
477	6087	6647
478	6098	6632
479	6108	6617
480	6119	6603
481	6130	6587
482	6139	6571
483	6150	6557
484	6162	6543
485	6173	6529
486	6185	6516
487	6198	6503
488	6209	6488
489	6220	6474
490	6232	6460
491	6242	6445
492	6254	6431
493	6265	6417
494	6275	6401
495	6286	6387
496	6297	6373
497	6307	6358
498	6318	6343
499	6328	6328
500	6339	6313
501	6350	6300
502	6362	6286
503	6373	6272
504	6384	6258
505	6396	6244
506	6407	6230
507	6417	6215
508	6429	6201
509	6439	6187
510	6449	6171
511	6461	6158
512	6470	6142
513	6481	6128
514	6492	6114
515	6502	6099
516	6513	6085
517	6524	6071
518	6534	6055
519	6545	6042
520	6556	6027
521	6566	6012
522	6577	5998
523	6586	5982
524	6597	5968
525	6607	5954
526	6617	5939
527	6628	5925
528	6638	5910
529	6648	5895
530	6659	5882
531	6668	5866
532	6680	5853
533	6692	5840
534	6704	5827
535	6716	5814
536	6728	5801
537	6740	5788
538	6751	5774
539	6762	5760
540	6773	5746
541	6782	5731
542	6793	5717
543	6803	5703
544	6813	5688
545	6824	5674
546	6834	5659
547	6847	5647
548	6859	5634
549	6869	5620
550	6878	5605
551	6890	5591
552	6901	5578
553	6914	5566
554	6926	5553
555	6939	5541
556	6949	5527
557	6960	5513
558	6971	5499
559	6980	5484
560	6992	5471
561	7003	5457
562	7013	5443
563	7024	5430
564	7034	5416
565	7044	5401
566	7056	5388
567	7067	5374
568	7080	5363
569	7091	5349
570	7103	5337
571	7114	5323
572	7125	5309
573	7136	5296
574	7147	5282
575	7159	5270
576	7172	5258
577	7185	5246
578	7195	5232
579	7208	5219
580	7219	5206
581	7229	5192
582	7243	5181
583	7255	5168
584	7268	5156
585	7280	5143
586	7290	5129
587	7301	5116
588	7311	5101
589	7323	5089
590	7338	5078
591	7351	5066
592	7364	5054
593	7374	5040
594	7386	5027
595	7396	5013
596	7407	5000
597	7419	4987
598	7430	4974
599	7439	4959
600	7450	4946
601	7459	4931
602	7472	4919
603	7484	4907
604	7497	4894
605	7508	4881
606	7520	4869
607	7533	4857
608	7546	4845
609	7559	4833
610	7572	4820
611	7584	4808
612	7597	4796
613	7609	4784
614	7622	4771
615	7634	4759
616	7646	4746
617	7657	4733
618	7670	4721
619	7681	4708
620	7694	4696
621	7708	4684
622	7721	4672
623	7735	4661
624	7748	4649
625	7760	4636
626	7772	4623
627	7784	4611
628	7797	4599
629	7810	4587
