iter	MultiClass
368	0.4249453577
369	0.4241289556
370	0.4234018629
371	0.4228796468
372	0.4223544411
373	0.4216194197
374	0.4209234712
375	0.4204464587
376	0.4197880126
377	0.4193452494
378	0.4189720402
379	0.4185951555
380	0.4183347849
381	0.4178887177
382	0.4175447149
383	0.4168382327
384	0.4164735428
385	0.4156441774
386	0.4151837521
387	0.4146438614
388	0.4139822566
389	0.41320051
390	0.4127428157
391	0.4120518551
392	0.4116141619
393	0.4109745257
394	0.410376672
395	0.409914217
396	0.4089183068
397	0.4084974028
398	0.4079821694
399	0.4076324243
400	0.407000686
401	0.4063027543
402	0.4057921057
403	0.4049878387
404	0.4045852715
405	0.4042506085
406	0.403649771
407	0.4033956695
408	0.4030057834
409	0.4027227145
410	0.4017254969
411	0.401075043
412	0.400268234
413	0.3998996416
414	0.3993033306
415	0.3985388538
416	0.3982854241
417	0.3978476419
418	0.3974188331
419	0.3971449686
420	0.396658615
421	0.3961028524
422	0.3954011019
423	0.3947705829
424	0.394391804
425	0.3935777996
426	0.3931663009
427	0.3925755563
428	0.3919151567
429	0.3912186018
430	0.390722368
431	0.390147576
432	0.3897077946
433	0.3891871728
434	0.3886146284
435	0.387964549
436	0.387652671
437	0.3872765132
438	0.3870227936
439	0.3865421695
440	0.385869812
441	0.385375777
442	0.384954547
443	0.3843949656
444	0.3837226106
445	0.3832216356
446	0.3829419024
447	0.3822599138
448	0.3817183453
449	0.3813093704
450	0.3805298267
451	0.3798221698
452	0.3795493507
453	0.3791661705
454	0.3787928454
455	0.3782878106
456	0.3778472771
457	0.3774278685
458	0.3768925448
459	0.3764982478
460	0.3760686399
461	0.3757753912
462	0.3753533501
463	0.3750302218
464	0.3747937438
465	0.3742747346
466	0.3739423108
467	0.37342828
468	0.3731515018
469	0.3727295486
470	0.3720468911
471	0.3716734655
472	0.3710000486
473	0.370388374
474	0.3701305651
475	0.3694251511
476	0.3689319438
477	0.3685191072
478	0.3681556771
479	0.3678459935
480	0.3675910573
481	0.367251388
482	0.3669738371
483	0.3666060197
484	0.3663565845
485	0.365934629
486	0.3655646639
487	0.3652588835
488	0.3650218848
489	0.3647820413
490	0.3645473365
491	0.3642721222
492	0.363756202
493	0.3634946989
494	0.3630791585
495	0.3623144055
496	0.3619966845
497	0.3616410865
498	0.3612522096
499	0.360872144
500	0.3603621542
501	0.3598946301
502	0.3596638684
503	0.3594341665
504	0.3591535672
505	0.3585101158
506	0.3579713747
507	0.3574702493
508	0.3568917214
509	0.3565241563
510	0.3561850428
511	0.3556263659
512	0.3552769956
513	0.3549770504
514	0.354710167
515	0.3544350078
516	0.3537803123
517	0.3534692181
518	0.3532870575
519	0.3528143887
520	0.3526020321
521	0.3522156831
522	0.3519770391
523	0.3515741711
524	0.351206525
525	0.351070573
526	0.3507116959
527	0.3501782043
528	0.3497313853
529	0.3495003734
530	0.3489856811
531	0.3487016637
532	0.348267411
533	0.3480121486
534	0.3473607214
535	0.3468721442
536	0.3464280747
537	0.3459670036
538	0.3456099886
539	0.3450062052
540	0.344694842
541	0.3445291735
542	0.3440970233
543	0.3435783579
544	0.3432382879
545	0.3428206099
546	0.3424527245
547	0.3422255941
548	0.3420491778
549	0.3418372986
550	0.3415150329
551	0.3408988676
552	0.34063132
553	0.340135776
554	0.3399869993
555	0.3397033389
556	0.3392870986
557	0.3389926494
558	0.3385061471
559	0.3382414513
560	0.3376518973
561	0.3373752742
562	0.3370464077
563	0.3368134331
564	0.3365435146
565	0.3362332348
566	0.3360181442
567	0.3355971353
568	0.3352145376
569	0.3350404446
570	0.3348085116
571	0.334392658
572	0.3342880038
573	0.3340460028
574	0.333643047
575	0.3330601398
576	0.332906274
577	0.3327538737
578	0.3323913212
579	0.3319832704
580	0.331721591
581	0.3315640421
582	0.331077937
583	0.3308120395
584	0.3304948684
585	0.3298388517
586	0.3292031761
587	0.3289839771
588	0.3285287963
589	0.3281335179
590	0.3277165248
591	0.327530381
592	0.3273388027
593	0.3270111103
594	0.3268025767
595	0.3263684085
596	0.3261970851
597	0.3258645776
598	0.3254524193
599	0.3251832579
600	0.3248502223
601	0.3246099649
602	0.3243436122
603	0.3238076081
604	0.3236228345
605	0.3233375482
606	0.3229719272
607	0.3226349428
608	0.3222456502
609	0.3219651396
610	0.3218238605
611	0.3216475273
612	0.3213597594
613	0.3210785304
614	0.3206839243
615	0.32039608
616	0.3199673325
617	0.3197398693
618	0.3194848568
619	0.3191829117
620	0.3189066243
621	0.3184104082
622	0.3181620371
623	0.3174756982
624	0.3171901586
625	0.316883903
626	0.3164572064
627	0.3162196405
628	0.3155346723
629	0.3152108435
630	0.3148878111
631	0.3144116394
632	0.3141033354
633	0.3135497856
634	0.3132066562
635	0.3129443782
636	0.3126801673
637	0.3124432576
638	0.3122008124
639	0.3119002126
640	0.31167712
641	0.3112980843
642	0.3110079698
643	0.3107537348
644	0.3103804466
645	0.3101863115
646	0.3096984304
647	0.3093487929
648	0.3091276448
649	0.3089195912
650	0.3088093386
651	0.3086674239
652	0.3083129421
653	0.3079193262
654	0.3075962421
655	0.307154941
656	0.3065258905
657	0.3063792401
658	0.3061772005
659	0.3059633468
660	0.3057484356
661	0.3055649288
662	0.3054285631
663	0.3050145824
664	0.3047142359
665	0.304151955
666	0.3039336095
667	0.303742064
668	0.3035395462
669	0.3032754012
670	0.3029327071
671	0.3026366976
672	0.3024146224
673	0.302152332
674	0.3017914378
675	0.3013928819
676	0.3012307859
677	0.3010974489
678	0.3007694689
679	0.3005777487
680	0.3004083976
681	0.300129304
682	0.2999531132
683	0.2994460284
684	0.2991535863
685	0.298960703
686	0.2987248557
687	0.2985135692
688	0.2982724012
689	0.2978531502
690	0.2976353166
691	0.2974316147
692	0.2972163375
693	0.2969794551
694	0.2968598521
695	0.2964760729
696	0.2961534845
697	0.2958657306
698	0.2956191473
699	0.2951808154
700	0.2949383807
701	0.2948006091
702	0.2945234549
703	0.2943054587
704	0.29403333
705	0.2938258216
706	0.2933507723
707	0.292973121
708	0.2926803943
709	0.292483192
710	0.2922733255
711	0.2919892371
712	0.2916674796
713	0.2913851773
714	0.2912525901
715	0.2911126165
716	0.2907761568
717	0.2906277663
718	0.2904610093
719	0.2903530134
720	0.2901454014
721	0.289934781
722	0.2897195869
723	0.2894532582
724	0.2891030746
725	0.2888481436
726	0.2886376085
727	0.2882458818
728	0.2880690835
729	0.287740795
730	0.2875023451
731	0.2870545468
732	0.2867549517
733	0.2866358997
734	0.2863138859
735	0.2859181224
736	0.285615963
737	0.2854657457
738	0.2851940741
739	0.2849714886
740	0.2845967606
741	0.2844233766
742	0.2841890451
743	0.2837976956
744	0.2834654434
745	0.2832745248
746	0.2830390186
747	0.2827383578
748	0.2824795635
749	0.2820036527
750	0.281701391
751	0.2813554132
752	0.2811041617
753	0.2809046089
754	0.2806035633
755	0.2803677513
756	0.2801600324
757	0.2798926967
758	0.2798078972
759	0.2796572521
760	0.2794722291
761	0.2792458659
762	0.2791046053
763	0.2788089669
764	0.2784854574
765	0.2782961599
766	0.2780154267
767	0.277823794
768	0.2774860635
769	0.2771084294
770	0.2767833783
771	0.2765350092
772	0.2763152966
773	0.2761169921
774	0.2758305051
775	0.2756031087
776	0.2752935848
777	0.2748742808
778	0.2747391131
779	0.2745694289
780	0.2744023595
781	0.2742281214
782	0.2740824749
783	0.2739281671
784	0.2735630923
785	0.273427105
786	0.2732538562
787	0.2730078698
788	0.272802815
789	0.2726035394
790	0.2723207659
791	0.2721786496
792	0.2719178634
793	0.2717149006
794	0.2715448075
795	0.2713176065
796	0.2707597324
797	0.270602052
798	0.2704611578
799	0.2703094796
800	0.2701108156
801	0.2699653291
802	0.2697273138
803	0.2694729483
804	0.269155862
805	0.2689919527
806	0.2688368943
807	0.2682989702
808	0.2681690408
809	0.2680483205
810	0.2678431703
811	0.2676452778
812	0.2673459872
813	0.2672078321
814	0.266896632
815	0.2666330913
816	0.2662062126
817	0.2661047198
818	0.2659285627
819	0.2656886644
820	0.2654658561
821	0.2653480809
822	0.2649450905
823	0.2648355578
824	0.264569121
825	0.2643176853
826	0.2640996412
827	0.2639501694
828	0.2635839333
829	0.2633729984
830	0.2631714602
831	0.2628774187
832	0.2626874505
833	0.2624988361
834	0.2622087223
835	0.2620300414
836	0.2618813787
837	0.2617866575
838	0.2616470828
839	0.2614052026
840	0.2610403794
841	0.2608821514
842	0.2606997049
843	0.2605081683
844	0.2603386644
845	0.2601615646
846	0.25994814
847	0.2596079373
848	0.259442539
849	0.2591678481
850	0.2589717051
851	0.2588107292
852	0.2586745359
853	0.2585352352
854	0.2584422972
855	0.2581781643
856	0.2578438329
857	0.2576401148
858	0.2574550632
859	0.2573016225
860	0.2572145464
861	0.2570825011
862	0.2570013809
863	0.256724496
864	0.2565292785
865	0.2563456319
866	0.2560556954
867	0.25586278
868	0.2556793102
869	0.2553068921
870	0.2550411688
871	0.2547804022
872	0.2545430983
873	0.2543520675
874	0.2542399079
875	0.2538852212
876	0.2536170888
877	0.2534447994
878	0.2530677182
879	0.2527815337
880	0.2525809118
881	0.2524520105
882	0.2522917729
883	0.2520287244
884	0.2518034109
885	0.2516043072
886	0.2513400964
887	0.2512480201
888	0.2510479644
889	0.2508854786
890	0.2505928756
891	0.2504108641
892	0.2500976621
893	0.249932093
894	0.2497760441
895	0.2496101824
896	0.2492749294
897	0.2491671332
898	0.2489765399
899	0.248863391
900	0.2486861036
901	0.2486273694
902	0.248377305
903	0.2482044673
904	0.2479004431
905	0.2478230802
906	0.2477012139
907	0.24744226
908	0.2471827381
909	0.2470661422
910	0.2468876367
911	0.2466348837
912	0.2463993299
913	0.2460415893
914	0.2458708021
915	0.2455379012
916	0.2453800747
917	0.2452580837
918	0.2448391347
919	0.2446719622
920	0.2444964474
921	0.2442170784
922	0.2439903134
923	0.2437944311
924	0.2436355992
925	0.2434467313
926	0.2432224064
927	0.2431021664
928	0.24286986
929	0.242669482
930	0.2424032767
931	0.2423146229
932	0.2421544509
933	0.2419705681
934	0.2417043683
935	0.2415473479
936	0.2414195606
937	0.2413281894
938	0.2411213834
939	0.2409736177
940	0.2407943719
941	0.2406578433
942	0.2404200514
943	0.240280335
944	0.2401070928
945	0.2400199288
946	0.2398194298
947	0.2397108078
948	0.2394554265
949	0.2393840559
950	0.2392007756
951	0.23896536
952	0.2388698623
953	0.2386585348
954	0.2385375134
955	0.2384142614
956	0.238125277
957	0.2379754375
958	0.2378157501
959	0.2375949043
960	0.2374608847
961	0.2372717778
962	0.2370914278
963	0.2369510826
964	0.2367782377
965	0.2366048424
966	0.2362906337
967	0.2362079168
968	0.2360155517
969	0.2357694829
970	0.2356491973
971	0.2354312122
972	0.2352409853
973	0.2350521489
974	0.2348940025
975	0.2347725867
976	0.2345889369
977	0.2344726812
978	0.2342864884
979	0.2340149683
980	0.2337567522
981	0.2334750778
982	0.2332603661
983	0.2331107387
984	0.232871015
985	0.2326961218
986	0.2325856797
987	0.232309124
988	0.2320583413
989	0.2318304582
990	0.2317201896
991	0.2315784207
992	0.2314802057
993	0.2313701223
994	0.2312309351
995	0.2310058902
996	0.2308640637
997	0.2306806066
998	0.2304184966
999	0.2301656218
